old_name,new_name
University Of Pennsylvania,Hospital Of The University Of Pennsylvania
Duke University,Duke University Medical Center
University Of Pittsburgh At Pittsburgh,University Of Pittsburgh
"University Of California, San Francisco",University Of California - San Francisco
University Of Wisconsin-Madison,University Of Wisconsin
Vanderbilt University,Vanderbilt University Medical Center
Emory University,Emory University School Of Medicine
Northwestern University At Chicago,Northwestern University
University Of California Los Angeles,University Of California - Los Angeles
Johns Hopkins University,Johns Hopkins University School Of Medicine
University Of California At Davis,University Of California - Davis
University Of California San Diego,University Of California - San Diego
University Of Maryland Baltimore,University Of Maryland
University Of Texas Medical Br Galveston,University Of Texas Medical Branch
Columbia University Health Sciences,Columbia University Irving Medical Center
Weill Medical Coll Of Cornell Univ,Weill Cornell Medical College
University Of Miami School Of Medicine,University Of Miami
Cleveland Clinic Lerner Com-Cwru,Cleveland Clinic
University Of Nebraska Medical Center,University Of Nebraska College Of Medicine
Rbhs-New Jersey Medical School,New Jersey Medical School
University Of California-Irvine,University Of California - Irvine
Univ Of North Carolina Chapel Hill,University Of North Carolina At Chapel Hill
Wake Forest University Health Sciences,Wake Forest University School Of Medicine
Indiana Univ-Purdue Univ At Indianapolis,
University Of Missouri-Columbia,
University Of Washington,University Of Washington
Rbhs-Robert Wood Johnson Medical School,Robert Wood Johnson - Umdnj
Yale University,Yale University School Of Medicine
Texas A&M University Health Science Ctr,Texas A&M University
Ut Southwestern Medical Center,University Of Texas Southwestern Medical Center
Southern Illinois University Sch Of Med,Southern Illinois University School Of Medicine
Pennsylvania State Univ Hershey Med Ctr,Penn State Hershey Medical Center
University Of Texas Hlth Sci Ctr Houston,University Of Texas Health Science Center At Houston
University Of Connecticut Sch Of Med/Dnt,University Of Connecticut School Of Medicine
Dartmouth College,Dartmouth Hitchcock Medical Center
Univ Of Massachusetts Med Sch Worcester,University Of Massachusetts Medical School
Upstate Medical University,Suny Upstate Medical University
University Of Tennessee Health Sci Ctr,University Of Tennessee Health Science Center
University Of New Mexico Health Scis Ctr,University Of New Mexico Hsc
University Of South Florida,University Of South Florida College Of Medicine
Boston University Medical Campus,Boston University
Icahn School Of Medicine At Mount Sinai,Mount Sinai School Of Medicine
University Of Vermont & St Agric College,University Of Vermont College Of Medicine / Fletcher Allen Health Care
University Of Michigan At Ann Arbor,University Of Michigan
University Of Texas Med Br Galveston,University Of Texas Medical Branch
"University Of California, San Diego",University Of California - San Diego
"Albert Einstein College Of Medicine, Inc",Albert Einstein College Of Medicine
University Of Texas Hlth Sci Ctr San Antonio,University Of Texas Health Science Center At San Antonio
Georgetown University,Georgetown University Medical Center
State University New York Stony Brook,Stony Brook University Medical Center
University Of Mississippi Med Ctr,University Of Mississippi
Case Western Reserve Univ/Cleveland Clinic Lerner Com,Case Western Reserve University School Of Medicine
University Of Texas Southwestern Dallas,University Of Texas Southwestern Medical Center
Rutgers Biomedical And Health Sciences,Robert Wood Johnson - Umdnj
Texas Tech University Health Scis Center,Texas Tech University Health Sciences Center
University Of Michigan Ann Arbor,University Of Michigan
Washington University St Louis,Washington University In St. Louis
University Of Wisconsin Madison,University Of Wisconsin
University Of California Davis,University Of California - Davis
University Of California San Francisco,University Of California - San Francisco
Northwestern University Chicago,Northwestern University
University Of Alabama Birmingham,University Of Alabama At Birmingham
Weill Medical College Of Cornell University,Weill Cornell Medical College
Case Western Reserve Univ/Cleveland Clinic Lerner,Case Western Reserve University School Of Medicine
Indiana Univ-Purdue Univ Indianapolis,
University Of North Carolina Chapel Hill,University Of North Carolina At Chapel Hill
University Of Illinois Chicago,University Of Illinois At Chicago
University Of Missouri Columbia,
University Of Vermont,University Of Vermont College Of Medicine / Fletcher Allen Health Care
University Of New Mexico Health Sciences Ctr,University Of New Mexico Hsc
University Of California Irvine,University Of California - Irvine
"Rutgers, The State University Of New Jersey",New Jersey Medical School
University Of Oklahoma Hlth Sciences Ctr,University Of Oklahoma College Of Medicine
University Of Nevada Reno,University Of Nevada
Louisiana State Univ Hsc New Orleans,Louisiana State University Health Sciences Center
State University Of New York Stony Brook,Stony Brook University Medical Center
State University Of New York Buffalo,State University Of New York At Buffalo
Oregon Health & Science University,Oregon Health And Science University
University Of Massachusetts Med Sch Worcester,University Of Massachusetts Medical School
Cornell University Weill Medical College,Weill Cornell Medical College
Case Western Reserve U/Cleveland Clinic Lerner Com,Case Western Reserve University School Of Medicine
Pennsylvania State Univ Med Ctr Hershey,Penn State Hershey Medical Center
University Of Washington Seattle,University Of Washington
Wake Forest University Hlth Scis,Wake Forest University School Of Medicine
University Of New Mexico Hlth Scis Ctr,University Of New Mexico Hsc
Tulane University Of Louisiana,Tulane University School Of Medicine
University Of Oklahoma Hlth Scis Ctr,University Of Oklahoma College Of Medicine
University Of Tennessee Hlth Sci Ctr,University Of Tennessee Health Science Center
Suny Upstate Medical Center,Suny Upstate Medical University
Stony Brook University Medical Center,University Of Massachusetts Medical School
Brown University,Brown University School Of Medicine
Washington University,Washington University In St. Louis