smart_institution5,count
A.T. Still University,1
Aberdeen Royal Infirmary,1
Abilene Christian University,1
Abington Jefferson Health,5
Abington Memorial Hospital,13
Abrazo Central Hospital,2
Academic Medical Center,1
Acclivus Inc. Chicago,1
Addis Ababa University,3
Adventhealth Cancer Institute,1
Adventhealth Orlando,7
Adventhealth Tampa,2
Advocate Lutheran General Hospital,1
Affiliated Zhongda Hospital,1
Aga Khan University Medical College,57
Ahmadu Bello University,3
Aichi Cancer Center,1
Akron General Medical Center,1
Alabama College Of Osteopathic Medicine,1
Albany Medical College,23
Albert Einstein College Of Medicine,26
Alfred Health,1
All Children'S Hospital Johns Hopkins Medicine,2
Allegheny General Hospital,3
Allegheny Health Network Cancer Institute,4
Allies For Health,1
American Board Of Surgery,1
American College Of Surgeons,11
Ankara Yildirim Beyazit University,1
Ann & Robert H Lurie Children'S,1
Ann & Robert H Lurie Children'S Hospital Of Chicago,2
Ann & Robert H. Lurie Children'S Hospital,4
Ann & Robert H. Lurie Children'S Hospital Of Chicago,20
Ann And Robert H Lurie Children'S Hospital Of Chicago,4
Ann And Robert H. Lurie Children'S Hospital,2
Ann And Robert H. Lurie Children'S Hospital Of Chicago,10
Ann Arbor Va Healthcare System,1
Anne Arundel Medical Center,6
Anne Marion Burnett School Of Medicine At Texas Christian University,1
Antiguo Hospital Civil De Guadalajara,1
Ariadne Labs,5
Arkansas Children'S Hospital,2
Asahi General Hospital,1
Ascension Providence Hospital,8
Ascension St. Vincent Hospital,1
Atrium Health,3
Augusta University,5
Austin Health,5
Banner Md Anderson Cancer Center,2
Banner University Medical Center - Tucson - Banner Health,1
Banner University Medical Center- Phoenix,1
Bassett Medical Center,2
Baylor College Of Medicine,227
Baylor College Of Medicine & Texas Children'S Hospital,8
Baylor Scott & White All Saints Medical Center,2
Baylor Scott & White Health,1
Baylor Scott & White Medical Center-Temple,1
Baystate Medical Center,9
Beaumont Health System,5
Beth Israel Deaconess Medical Center,92
Beth Israel Lahey Hospital,1
Bethany Kids At Aic Kijabe Hospital,1
Bidmc,1
Birmingham Va Medical Center,1
Birmingham Veteran'S Affairs Medical Center,2
Bolan Medical Complex Hospital,2
Boston Children'S Hospital,14
Boston University,60
Boulder Community Health,1
Brandenburg Medical School,1
Brandon Regional Hospital,6
Brigham And Women'S Hospital,174
Brigham Young University,1
Bronx Care (Lebanon) Hospital,1
Bronx- Lebanon Hospital Center,1
Brooke Army Medical Center,8
Brooklyn Hospital Center,1
Brookwood Baptist Health System,2
Broward Health Medical Center,17
Broward Health North,2
Brown University School Of Medicine,51
Burnett School Of Medicine At Tcu,1
C.S. Mott Children'S Hospital,1
C.S.Mott Children'S Hospital,1
California Northstate University,7
California Northstate University College Of Medicine,2
California Northstate Unversity,1
Cancer Institute Hospital,1
Cardinal Glennon Childrens Medical Center,2
Cardiovascular Outcomes Research Laboratories (Corelab),4
Carilion Clinic,3
Carle Foundation Hospital,1
Carle Illinois College Of Medicine,1
Carnegie Mellon University,1
Carolinas Medical Center,40
Case Western Reserve University School Of Medicine,36
Cedars-Sinai Medical Center,49
Center For Fetal And Placental Research,1
Center For Fetal Cellular And Molecular Therapy,2
Center For Global Surgical Studies,1
Center For Healthcare Outcomes & Policy (Chop),1
Center For Innovations In Quality,1
Center For Perinatal Research,1
Center For Surgery And Public Health,5
Center For Surgical Outcomes Research,2
Center For Translational Injury Research,2
Center Of Advanced Surgical Oncology,1
Central Michigan University College Of Medicine,8
Centre For Biomedical Technologies,1
Centre For Research On The Epidemiology Of Disasters -  Universitt Catholique De Louvain,1
Centre Hospitalier De L'Universit De Montral,1
Centro Mtdico Abc,1
Chandler Regional Medical Center,1
Chang Gung Memorial Hospital,1
Cheikh Anta Diop University,3
Chelsea And Westminster Hospital Nhs Trust,1
Chiba Rosai Hospital,2
Chicago Medical School - Rosalind Franklin University Of Medicine And Science,2
Chicago Medical School At Rosalind Franklin University,1
Children Hospital Of Illinois / Osf Saint Francis Medical Center,2
Children Mercy'S Hospital,1
Children'S Health,1
Children'S Hospital At Oklahoma University Medicine,1
Children'S Hospital Boston,14
Children'S Hospital Colorado,26
Children'S Hospital Los Angeles,61
Children'S Hospital Los Angeles/The Saban Research Institute,1
Children'S Hospital Of Michigan,1
Children'S Hospital Of Philadelphia,4
Children'S Hospital Of Pittsburgh Of Upmc,10
Children'S Hospital Of Wisconsin,10
Children'S Medical Center,5
Children'S Medical Center Dallas,1
Children'S Memorial Hermann Hospital,6
Children'S Mercy Hospital,1
Children'S Mercy Hospital- University Of Missouri Kansas City,26
Children'S Mercy Hospital-University Of Missouri Kansas City,51
Children'S National Health System,1
Children'S National Hospital,2
Children'S Of Alabama,2
Childrens Hospital Of Philadelphia Research Institute,1
Chittagong Medical College Hospital,1
Chop Center For Fetal Research,1
Christian Medical College,1
Christiana Care,2
Cinch Valley Medical Center,1
Cincinnati Children'S Hospital Medical Center,20
Cincinnati Children'S Hospital Medical Center (Cchmc),1
Cincinnati Childrens Hospital And Medical Center,1
Cincinnati Childrens'S Hospital Medical Center,1
City Of Hope National Medical Center,18
Cleveland Clinic,29
Cmc Hospital,1
Cohen Children'S Medical Center,4
Cohen Children'S Medical Center At Northwell Health,3
Columbia University Irving Medical Center,27
Compaeros En Salud,2
Concord Repatriation General Hospital,6
Conemaugh Memorial Medical Center,4
Cook County Health,2
Cooper University Hospital,19
Creighton University Medical Center,17
Crown Princess Mary Cancer Centre,1
Crozer Chester Medical Center,4
Crozer Health,1
Crozer-Keystone Medical Center,2
Cuny School Of Medicine,1
Dalhousie University,1
Dana Farber Cancer Insititute,1
Darlington Memorial Hospital,1
Dartmouth Hitchcock Medical Center,63
Data Science Center For The Study Of Surgery,1
Dayanand Medical College & Hospital,1
Delray Medical Center,39
Denis And Lenora Foretia Foundation,1
Denver Health Medical Center,6
Department Of Emergency Medicine,2
Department Of Epidemiology,1
Department Of Hepatobiliary Surgery And Institute Of Advanced Surgical Technology And Engineering,1
Department Of Pediatric Surgery,1
Department Of Plastic And Reconstructive Surgery,2
Department Of Surgery,10
Dept. Of Otorhinolaryngology,1
Derby Hospitals Nhs Foundation Trust,1
Detroit Medical Center,4
Digestive Health Institute,2
Division Of Cardiac Surgery,1
Division Of Child And Adolescent Health,1
Division Of General Surgery,2
Divisions Of Pediatric Surgery And Surgical Research,1
Donald & Barbara Zucker School Of Medicine At Hofstra/Northwell,2
Donald And Barbara Zucker School Of Medicine At Hofstra/Northwell,16
Dorrington Medical Associates,1
Dow University Of Health Sciences,2
Drexel University College Of Medicine,22
Drexel University/Hahnemann University Hospital,2
Duke Children'S Health Center,1
Duke University Medical Center,138
Durban Unniversity Of Technology,1
Durham Veterans Affairs Medical Center,1
East Carolina University,1
East Carolina University Brody School Of Medicine,23
East Hospital,1
East Tennessee State University,11
East Texas Medical Center,1
Eastern Hepatobiliary Surgery Hospital,3
Eastern Regional Hospital,1
Eastern Virginia Medical School,14
Edward Via College Of Osteopathic Medicine,1
Einstein Healthcare Network,3
Einstein Medical Center Philadelphia,1
Elective Medical Student,1
Elmhurst Hospital Center,1
Emergency & Critical Care Medicine,1
Emory University School Of Medicine,67
Envision Healthcare,1
Epsom And St Helier University Hospitals Nhs Trust,1
Erie County Medical Center,2
Faculty Of Health Sciences,3
Faculty Of Medical Sciences,1
Faculty Of Medicine,2
Federal Medical Centre Abuja,1
Federal University Of Health Sciences Of Porto Alegre,5
Federal University Of Parana,2
Federal University Of Rio Grande Do Norte (Ufrn),1
Feinstein Institute For Molecular Medicine,1
Firefighters Burn And Surgical Research Laboratory,5
Fiu,2
Florida Atlantic University,15
Florida Hospital,4
Florida International University,2
Florida State,1
Florida State University College Of Medicine,7
Florida State University College Of Medicine/Sarasota Memorial Health Care System,3
Florida State Universty,1
Forbes Regional Hospital,1
Fordham University,1
Fox Chase Cancer Center,50
Frank H. Netter Md School Of Medicine,2
Fukushima Medical University School Of Medicine,1
Fuwai Hospital,1
G4 Alliance,1
Galway Clinic,3
Geisinger Commonwealth School Of Medicine,8
Geisinger Medical Center,25
General University Hospital Gregorio Maran,1
George Mason University,1
George Washington University,27
Georgetown University Medical Center,67
Georgia Trauma Commission,1
Glasgow Royal Infirmary,1
Goshen Center For Cancer Care,1
Graduate Institute Of Anatomy And Cell Biology,1
Grady Health System,1
Grady Memorial Hospital,2
Great Ormond Street Institute Of Child Health,1
Greater Los Angeles Veterans Administration Healthcare System,1
Griffith University,1
Groote Schuur Hospital,1
Guangdong Hospital Of Tcm,2
Guangdong Hospital Of Traditional Chinese Medicine,1
Guangdong Provincial Hospital Of Chinese Medicine,2
Gundersen Health System,1
Gunma University Graduate School Of Medicine,1
Guobin Chen,1
Guthrie Clinic,14
Guthrie Robert Packer Hospital,14
Hackensack Meridian Health,7
Hadassah-Hebrew University Medical Center,2
Hagey Laboratory For Pediatric Regenerative Medicine,5
Hamad Medical Corporation,2
Harbor-Ucla Medical Center,12
Harbor-University Of California Los Angeles Medical Center,2
Harlem Hospital,1
Hartford Hospital,2
Harvard Business School,1
Harvard Medical School,73
Hatton Research Institute,1
Hca Healthcare,5
Hca Medical City Arlington,1
Hca/Usf Regional Medical Center Bayonet Point,3
Henry Ford Health System,16
Hepatobiliary And Pancreatic Unit Hospital Pablo Tob=N Uribe (Hptu) <Sup>2</Sup>Liver Transplant Program Hptu  Universidad De Antioquia (Udea) <Sup>3</Sup>Gastrohepatology Group Udea  Epidemiology Group Universidad Ces,1
Highland Hospital,1
Hiroshima University,1
Hofstra North Shore Lij School Of Medicine,1
Hofstra North Shore-Lij School Of Medicine,2
Hofstra Northwell School Of Medicine,3
Hoftstra Northwell School Of Medicine,1
Hokkaido University,1
Holy Cross Hospital,14
Honorary,1
Hopital Universitaire De Mirebalais,1
Hospital Episcopal San Lucas,1
Hospital For Sick Children,1
Hospital Of The University Of Pennsylvania,256
Hospital Pedro De Bethancourt,1
Hospital Universitario Calixto Garca,1
Hospital Universitario San Ignacio,3
Houston Methodist Hospital,17
Howard Hughes Medical Institute,1
Howard University College Of Medicine,54
Hunter New England Health,1
Hunter New England Local Health District,1
Huntington Hospital/Northwell Health,1
Huntsman Cancer Institute At The University Of Utah,2
Hurley Medical Center,2
Hyogo College Of Medicine,3
Hyogo Emergency Medical Center,2
Ibm Watson Health,2
Ichihara Hospital,1
Imperial College Healthcare Nhs Trust,1
Imperial College London,9
Imperial College Trust,1
Indiana University School Of Medicine,194
Inova Fairfax Hospital,7
Inspira Health Network,2
Institute Of Clinical Medicine,1
Institute Of Medical Science,1
Instituto Nacional De Cancerologa,2
Intermountain Medical Center,5
Intermountain Primary Children'S Hospital,2
International Center For Automotive Medicine,2
International Rescue Committee,1
Iu School Of Medicine,2
Jaber Alahmad Alsabah Hospital,1
Jamaica Hospital Medical Center,1
Japanese Red Cross Maebashi Hospital,1
Jefferson Pancreatic,1
Jefferson Univeristy Hospital,2
Jellison Cancer Institute/ Florida State University,1
Jellison Cancer Institute/ Florida State University College Of Medicine,1
Jellison Cancer Institute/Florida State University College Of Medicine,1
Jesse Brown Va Medical Center,1
Joe Dimaggio Children'S Hospital,1
John D. Dingell Va Medical Center,1
John H. Stroger,2
John Hunter Hospital,10
John Peter Smith Hospital,4
John R. Oishei Children'S Hospital,2
John Wayne Cancer Institute/Providence St. John'S Medical Center,1
Johns Hopkins All Children'S Hospital,9
Johns Hopkins University School Of Medicine,246
Kagoshima University,1
Kampala International University Western Campus,1
Kamuzu Central Hospital,1
Kansas City University,2
Karmanos Cancer Institute,1
Karolinska Institutet,1
Kashiwa Kosei General Hospital,1
Kaweah Delta Medical Center,2
Kaweah Health Medical Center,2
Keck Medical Center Of University Of Southern California,1
Keck School Of Medicine,5
Keck School Of Medicine Of The University Of Southern California,1
Keio Universiry,1
Keio University School Of Medicine,8
Kendall Regional Medical Center,2
Kibungo Referral Hospital,1
Kidsor,1
Kinan Hospita,1
King Chulalongkorn Memorial Hospital,1
King Edward Medical University,3
King Faisal Specialist Hospital & Research Center,5
King George Medical University,4
King George'S Medical University (Kgmu),1
King'S College Hospital Nhs Foundation Trust,1
King'S College London,7
King'S Mill Hospital,1
Kings County Hospital Center,7
Kobe University Graduate School Of Medicine,9
Komfo Anokye Teaching Hospital,2
Kyoto University,1
Kyushu University,5
Laboratory For Fetal And Regenerative Biology,11
Laboratory For Regenerative Tissue Repair,1
Lac+Usc Medical Center,6
Lagos University Teaching Hospital,1
Lahey Hospital And Medical Center,5
Lankenau Medical Center,1
Larkin Community Hospital,2
Latin American School Of Medicine (Elam),1
Le Bonheur Children'S Hospital,3
Lebanon Valley College,1
Legacy Good Samaritan Medical Center,1
Lehigh Valley Health Network,15
Leiden University Medical Center,1
Lenox Hill Hospital,3
Lewis Katz School Of Medicine,6
Lincoln Medical Center,1
Liver And Pancreas Transplant Center,3
Loma Linda University Children'S Hospital,6
Loma Linda University School Of Medicine,8
Louisiana State University Health Sciences Center,64
Loyola University Chicago,1
Loyola University Chicago Stritch School Of Medicine,34
Loyola University Medical Center,28
Loyola Universtiy Medical Center,1
Macquarie University,1
Madigan Army Medical Center,11
Magee-Womens Research Institute,1
Maine Medical Center,7
Makerere University,2
Marian University College Of Osteopathic Medicine,2
Marin General Hospital,1
Marin Health Medical Center,2
Marshall Institute For Interdisciplinary Research,1
Marshall University Joan C. Edwards School Of Medicine,1
Marshall University School Of Medicine,14
Marshfield Clinic Health Center,2
Mary Bridge Children'S Health Center,1
Massachusetts General Hospital,195
Mater Adult Brisbane Hospital,1
Mater Infirmorum,1
Matsushima Hospital,1
Maulana Azad Medical College,1
Mayo Clinic,68
Mayo Clinic - Florida,12
Mayo Clinic - Rochester,1
Mayo Clinic In Arizona,3
Mayo Clinic Rochester,1
Mayo Medical School,1
Mbarara University Of Science And Technology,1
Mccallum Place,1
Mccormick School Of Engineering,2
Mcgill University,5
Mcgovern Medical School At Uthealth And Childrens Memorial Hermann Hospital,4
Mcgovernmedicalschool,2
Mcmaster University,1
Medical College Of Georgia,16
Medical College Of Georgia At Augusta University,1
Medical College Of Wisconsin,191
Medical University Of South Carolina,26
Meharry Medical College,8
Memorial Healthcare System,2
Memorial Sloan-Kettering Cancer Center,4
Mending Kids,1
Mercer University School Of Medicine,6
Mercy Catholic Medical Center,3
Meritus,2
Methodist Debakey Heart And Vascular Center,2
Metroderm,1
Metrohealth Medical Center,18
Metropolitan Hospital Center,2
Miami Valley Hospital,1
Michael And Dianne Biennes Comprehensive Cancer Center,3
Michael E. Debakey Va Medical Center,2
Michael E. Debakey Veterans Affairs Medical Center,3
Michigan State University,10
Midwestern University,2
Missouri State University,1
Moffitt Cancer Center And Research Institute,64
Moi Teaching And Referral Hospital,1
Monash University,3
Monmouth Medical Center,1
Monroe Carell,1
Monroe Carell Jr. Childrens Hospital At Vanderbilt,1
Moores Cancer Center,1
Morehouse School Of Medicine,5
Morristown Medical Center,1
Mount Sinai School Of Medicine,70
Mount Sinai St. Luke'S Roosevelt General Surgery Residency Program,1
Mountain Area Health Education Center,1
Mulago Hospital,3
Musc,1
Nagasaki University,3
Nagoya University,4
National Cancer Institute,12
National Institutes Of Health,3
National Taiwan University Hospital,4
National University Of Rwanda,13
Nationwide Children'S Hospital,36
Naval Medical Center Portsmouth,5
Naval Medical Center San Diego,2
Naval Medical Research Unit San Antonio,10
Nemour'S Children'S Hospital; University Of Central Florida,1
Nemours Alfred I Dupot Hospital For Children,1
Nemours Children Hospital,3
Nemours Children'S Health,2
Nemours Children'S Health System,1
Nemours Children'S Hospital,4
Nemours/Alfred I Dupont Hospital For Children,1
Nepal Medical College And Teaching Hospital,1
Neurological Institute Of Thailand,1
New Jersey Medical School,68
New York College Of Osteopathic Medicine,2
New York Institute Of Technology College Of Osteopathic Medicine,4
New York Medical College,12
New York Methodist Hospital,2
New York Presbyterian Hospital,3
New York University Langone Health,1
