smart_institution5,count
New York University Langone Hospital - Long Island,1
New York University School Of Medicine,38
Newyork-Presbyterian Brooklyn Methodist Hospital,3
Newyork-Presbyterian Queens Hospital,8
Niigata University Graduate School Of Medical And Dental Sciences,39
Nippon Medical School,2
Nkafu Policy Institute,2
North Florida/South Georgia Veterans Health System,1
North Shore University And Long Island Jewish Medical Center,27
North Shore University Hospital And Long Island Jewish Medical Center,1
Northern Ontario School Of Medicine,4
Northern Ontario School Of Medicine(Nosm) University,1
Northernontario School Of Medicne,1
Northshore University Health System,3
Northshore University Healthsystem,2
Northwell,1
Northwell - Staten Island University Hospital,1
Northwell Health,12
Northwell Health At Staten Island University Hospital,2
Northwell Health North Shore/Long Island Jewish Hospital,1
Northwell Health System,1
Northwell Health System - Long Island Jewish Medical Center,1
Northwell Health System North Shore Lij,2
Northwell North Shore/Long Island Jewish,2
Northwell Northshore/Long Island Jewish,1
Northwestern Memorial Hospital,1
Northwestern University,187
Northwestern University Feinberg School Of Medicine And Ann & Robert H. Lurie Childrens Hospital Of Chicago,1
Nova Southeastern University,7
Nova Southeastern University Dr Kiran C Patel College Of Allopathic Medicine,1
Nova Southeastern University Dr. Kiran C Patel College Of Allopathic Medicine,1
Noveome Biotherapeutic,1
Nsu,4
Nuvance Health,3
Nyc Health +Hospitals/ Elmhurst,1
Nyu Grossman School Of Medicine,1
Nyu Langone Health,6
Nyu Langone Hospital - Long Island,1
Nyu Langone Hospital-Brooklyn,1
Nyu Winthrop Hospital,1
Oakland University William Beaumont School Of Medicine,3
Ocala Health,1
Ocala Regional Medical Center,1
Ochsner Clinic Foundation,1
Ocshner Clinic,2
Ohio State University,171
Ohio University,3
Ohiohealth Doctors Hospital,3
Ohiohealth Grant Medical Center,29
Ohta Nishinouchi General Hospital,2
Okayama University Graduate School Of Medicine,1
Okinawa Chubu Hospital,1
Oklahoma Childrens Hospital,2
One Brooklyn Health,2
Oregon Health And Science University,26
Orlando Health,1
Orlando Regional Medical Center,6
Osaka Saiseikai-Noe Hospital,2
Osf St. Francis Medical Center,1
Ouhsc,1
Our Lady Of The Lake Regional Medical Center,3
Pacific Northwest University Of Health Sciences,1
Palmetto General Hospital- Center For Advanced Surgical Oncology,2
Panzi Hospital,1
Papageorgiou General Hospital,2
Paracelsus Medical University,3
Parkland Health And Hospital System,3
Partners In Health,5
Penn Medicine Lancaster General Health,12
Penn State Children'S Hospital,1
Penn State Hershey Medical Center,74
Pennington Biomedical Research Center,2
Pennsylvania State University College Of Medicine,1
Peter Maccallum Cancer Centre,1
Philadelphia College Of Osteopathic Medicine,4
Phoenix Children'S,3
Physiotherapy Dept. Health Sciences,1
Physis Group,1
Price Institute Of Of Surgical Research And The Section Of Colorectal Surgery,1
Price Institute Of Surgical Research,12
Primary Childrens Hospital,2
Prince Of Wales Hospital,1
Prince Sultan Military Medical City,1
Program In Global Surgery And Social Change,7
Promedica Health System,1
Providence Hospital And Medical Centers,2
Providence Portland Cancer Center,1
Qassim University,1
Qilu Hospital Of Shandong University,2
Queen Elizabeth Central Hospital,1
Queen Mary,1
R Adams Cowley Shock Trauma Center,2
Rabin Medical Center,1
Radboud University Medical Center,14
Radboudumc,15
Rady Children'S Hospital,1
Rady Children'S Hospital - San Diego,1
Rady Children'S Hospital San Diego,1
Rady Children'S Hospital/ Uc San Diego,1
Rainbow Babies And Children'S Hospital,1
Reading Hospital,2
Reid Plastic & Reconstructive Surgery,1
Rhode Island Hospital,18
Rhodes College,1
Rice University,2
Rigshospitalet,1
Riley Hospital For Children,3
Riverside University Health System,1
Robert H. Lurie Comprehensive Cancer Center,1
Robert Wood Johnson - Umdnj,21
Rocky Vista University,6
Roger Williams Medical Center,2
Roswell Park Cancer Institute,76
Roswell Park Comprehensive Cancer Center,5
Royal Free Hospital Nhs Foundation Trust,1
Royal North Shore Hospital,2
Royal Prince Alfred Hospital,1
Rush Medical College,1
Rush University Medical Center,41
Russells Hall Hospital,1
Rutgers - Njms,2
Rutgers Cancer Institute Of New Jersey,6
Rutgers Robert Wood Johnson Medical School,30
Rutgers Rwjms,1
Rutgers School Of Biomedical Sciences,1
Rutgers School Of Dental Medicine,1
Rwanda Military Hospital,2
Rwj/Barnabas Health Community Medical Center,1
Sacramento Va Medical Center,1
Sacramento Veterans Affairs Medical Center,2
Saint Agnes Hospital,5
Saint Barnabas Medical Center,19
Saint Boniface Hospital,1
Saint Elizabeth Medical Center,1
Saint James School Of Medicine,1
Saint Louis University School Of Medicine,12
Saint Mary'S Hospital,1
Samford University,1
San Antonio Military Medical Center,1
San Francisco General Hospital And The University Of California,1
San Francisco State University,1
San Joaquin General Hospital,7
Sandeman Provinical Hospital/Bolan Medical College,1
Sandman Provincial Hospital/ Bolan Medical College,4
Sapienza University Of Rome,2
Sapporo Ishiyama Hospital,1
Sapporo Medical University Hospital,1
Scott & White Healthcare,7
Scripps Health,1
Scripps Mercy Hospital Trauma Service,2
Seattle Children'S Hospital,16
Second Trial Coordinating Center,1
Sefako Makgatho Health Sciences University,1
Semmelweis University,1
Sentara Healthcare,1
Shady Side Academy,1
Sheba Medical Center,2
Shinshu Medical University,1
Shinshu University School Of Medicine,2
Shizuoka Children'S Hospital,1
Shore Regional,1
Shriners Hospitals For Children-Boston,2
Sidney Kimmel Medical College At Thomas Jefferson University,3
Simpson Querrey Institute For Bionanotechnology,1
Sinai Hospital,1
Sinai Hospital Of Baltimore,10
Singapore General Hospital,1
Singapore Health Services,1
Sky Ridge Medical Center,1
Soroti Regional Referral Hospital,1
South Auckland Clinical School,1
South Shore University Hospital,2
Southern Arizona Va Health Care System,1
Southern District Health Board,1
Southern Illinois University,1
Southern Illinois University School Of Medicine,13
Southside Hospital / Northwell Health,1
Sparrow Health Systems,2
Spectrum Health,1
Ssm Cardinal Glennon Children'S Hospital,1
St Agnes Hospital,1
St Jude Childrens Research Hospital,1
St. Christopher'S Hospital For Children,3
St. George'S University School Of Medicine,4
St. Joseph Mercy Ann Arbor,1
St. Joseph'S University Medical Center,2
St. Jude Children'S Research Hospital,4
St. Louis University,3
St. Luke'S Hospital Plaza- Kansas City,1
St. Luke'S Roosevelt Hospital Center,1
St. Luke'S University Health Network,21
St. Mary'S Hospital,3
St. Peter Specialized Hospital,1
Stanford University,204
State University Of Haiti,1
State University Of New York At Buffalo,45
State University Of New York Downstate Medical Center,14
Staten Island University Hospital,8
Staten Island University Hospital-Northwell Health,1
Stellenbosch University,3
Steven And Alexandra Cohen Children'S Medical Center,1
Steward Easton Hospital,2
Stony Brook University Medical Center,41
Stratus Center For Medical Simulation,1
Stroger Hospital Of Cook County,4
Sunnybrook Health Sciences Centre,1
Suny Downstate College Of Medicine,2
Suny Downstate Health Science Center,1
Suny Downstate Health Sciences University,26
Suny Upstate Medical University,7
Surgeons Overseas (Sos),1
Surgical Oncology Program,1
Surgical Outcomes And Quality Improvement Center (Soqic),1
Sustainable Trauma,1
Sylvester Cancer Center,1
Synvesta Vascular Care,1
Taipei Medical University - Shuang Ho Hospital,1
Targeted And Biological Therapies Group,1
Tawam Hospital,1
Teikyo University Hospital Trauma And Resuscitation Center,1
Temple University,114
Texas A&M University,2
Texas Children'S Fetal Center,1
Texas Children'S Hospital,34
Texas Health Harris Methodist Fort Worth,2
Texas Tech University Health Sciences Center,40
The Aga Khan University Hospital Karachi,3
The Alfred Hospital,8
The American British Cowdray Medical Center,2
The Austin Hospital,1
The Brookdale University Hospital And Medical Center,3
The Burn Center,1
The Center For Surgery And Health Economics,1
The Children'S Hospital Of Alabama,9
The Children'S Hospital Of Philadelphia,2
The Curtis National Hand Center,1
The Elmezzi Graduate School Of Molecular Medicine,2
The Feinstein Institute For Medical Research,7
The Feinstein Institute For Medical Research At Northwell Health,1
The First Affiliated Hospital Of China Medical University,2
The Geneva Foundation,1
The Hospital For Sick Children,3
The Jackson Laboratory For Genomic Medicine,1
The Jikei University School Of Medicine,22
The Medical Center Navicent Health,1
The Medical University Of South Carolina,5
The Mount Sinai Hospital,5
The Princess Alexandra Hospital Nhs Trust,1
The Research Institute At Nationwide Children'S Hospital,1
The Royal Marsden Nhs Foundation Trust,1
The Royal Wolverhampton Hospitals Nhs Trust,1
The University Of Hong Kong,3
The University Of Kansas Medical Center,2
The University Of Melbourne,1
The University Of Tennessee Medical Center At Knoxville,4
The University Of Texas Rio Grande Valley,1
The University Of Tokyo,1
The University Of Vermont Medical Center,1
The Warren Alpert Medical School,1
Thomas E. Starzl Transplantation Institure,2
Thomas Jefferson University,62
Tokyo Medical And Dental University,12
Tokyo Metropolitan Cancer And Infectious Diseases Center Komagome Hospital,1
Toranomon Hospital,1
Toronto Western Hospital,1
Touro University,1
Trinity College Dublin,1
Tripler Army Medical Center,1
Tsinghua University,1
Tufts Medical Center,28
Tulane University School Of Medicine,34
Uc Davis,3
Uc Riverside,1
Uc San Diego School Of Medicine,4
Ucla Core Lab,2
Ucla Fielding School Of Public Health,1
Ucsf Benioff Children'S Hospital Oakland,2
Ucsf East Bay,4
Ucsf Fresno,2
Ucsf-East Bay,1
Uf Health Shands Hospital,1
Uniformed Services University Of The Health Sciences,8
United States Air Force,1
Unitypoint Health,1
Universidad Anahuac Mexico,1
Universidad Catlica Argentina,1
Universidad De La Sabana,4
Universidad Del Azuay,1
Universidad Del Rosario,1
Universidad Industrial De Santander,1
Universidad Peruana Cayetano Heredia,1
Universidade Estadual Do Amazonas,1
Universidade Federal De Cincias Da Sade De Porto Alegre,2
Universidade Federal De Minas Gerais,2
Universide Do Estado Do Amazonas,1
Universit Catholique De Louvain,2
Universit Degli Studi Di Salerno,1
University Hospital Ibn Sina Um5,1
University Hospital Limerick,1
University Hospital Waterford,2
University Hospitals,2
University Hospitals Case Medical Center,4
University Hospitals Cleveland Medical Center,35
University Hospitials,1
University Of Abuja-Teaching Hospital,1
University Of Alabama At Birmingham,589
University Of Alberta,7
University Of Arizona,167
University Of Arkansas For Medical Sciences,32
University Of Auckland,10
University Of British Columbia,5
University Of Buea,2
University Of Calgary,4
University Of California - Berkeley,1
University Of California - Davis,32
University Of California - Irvine,49
University Of California - Los Angeles,245
University Of California - Riverside,4
University Of California - San Diego,74
University Of California - San Francisco,132
University Of California San Francisco - East Bay,8
University Of California San Francsco - East Bay,1
University Of Cambridge,12
University Of Cape Town,1
University Of Central Florida,3
University Of Central Florida College Of Medicine,2
University Of Central Florida/Hca Consortium Ocala,1
University Of Central Florida/Hca Healthcare Gme Consortium,1
University Of Central Florida/Hospital Corporation Of America,1
University Of Chicago,107
University Of Cincinnati,101
University Of Cincinnati Medical College,1
University Of Colorado Denver,182
University Of Connecticut School Of Medicine,5
University Of Edinburgh,1
University Of Flordia College Of Medicine,1
University Of Florida,179
University Of Global Health Equity,2
University Of Hawaii,4
University Of Illinois,2
University Of Illinois At Chicago,18
University Of Illinois College Of Medicine - Peoria,1
University Of Illinois College Of Medicine At Peoria,1
University Of Illinois College Of Medicine Rockford,1
University Of Iowa,63
University Of Kansas,13
University Of Kansas Health System,1
University Of Kansas Medical Center,11
University Of Kansas School Of Medicine,1
University Of Kentucky,48
University Of Louisville,71
University Of Manitoba,1
University Of Maryland,41
University Of Massachusetts Medical School,31
University Of Medicine (1),3
University Of Medicine And Dentistry Of New Jersey,1
University Of Miami,193
University Of Michigan,429
University Of Minnesota,34
University Of Mississippi,10
University Of Missouri Kansas City School Of Medicine,3
University Of Modena And Reggio Emilia,1
University Of Nebraska College Of Medicine,51
University Of Nevada,10
University Of New Mexico Hsc,20
University Of Newcastle,3
University Of Nigeria,1
University Of North Carolina At Chapel Hill,143
University Of North Carolina At Charlotte,2
University Of North Dakota,1
University Of North Dakota School Of Medicine And Health Sciences,1
University Of Oklahoma - Tulsa,1
University Of Oklahoma College Of Medicine,34
University Of Otago,1
University Of Ottawa,2
University Of Oxford,1
University Of Pittsburgh,194
University Of Port Harcourt,1
University Of Puerto Rico School Of Medicine,4
University Of Rochester,47
University Of Sao Paulo,1
University Of South Alabama,22
University Of South Dakota,1
University Of South Florida College Of Medicine,53
University Of Southern California,33
University Of Sydney,4
University Of Szeged,1
University Of Tennesse Health Sciences,1
University Of Tennessee Chattanooga,3
University Of Tennessee College Of Medicine,3
University Of Tennessee Graduate School Of Medicine,9
University Of Tennessee Health Science Center,67
University Of Tennessee Medical Canter At Knoxville,1
University Of Texas At Austin Dell Medical School,4
University Of Texas Health San Antonio,1
University Of Texas Health Science Center At Houston,169
University Of Texas Health Science Center At San Antonio,14
University Of Texas Md Anderson Cancer Center,35
University Of Texas Medical Branch,61
University Of Texas Rio Grande Valley School Of Medicine,6
University Of Texas Southwestern - Austin,1
University Of Texas Southwestern Medical Center,190
University Of The Incarnate Word School Of Osteopathic Medicine,2
University Of The Witwatersrand,2
University Of Toledo Medical Center,33
University Of Toronto,12
University Of Tripoli,2
University Of Utah,104
University Of Vermont College Of Medicine / Fletcher Allen Health Care,41
University Of Vermont Larner College Of Medicine,1
University Of Virginia,99
University Of Washington,10
University Of Wisconsin,216
University Of Wiscosin,1
University Radiology At Robert Wood Johnson,1
University Teaching Hospital Of Kigali,3
Unversity Of Kansas,2
Upmc Division Of Surgical Oncology,2
Upmc Mercy,3
Usf Health Morsani College Of Medicine,2
Ut Health San Antonio,1
Uthsc Com Chattanooga,1
Utmb,1
Utrgv School Of Medicine,1
Uvm Medical Center,1
Uw Health,1
Va New Jersey Healthcare System,1
Va New York Harbor Healthcare System,1
Va North Texas Health Care System,1
Va Northern California Health Care System,1
Va Palo Alto Healthcare Systems,4
Va Salt Lake City Health Care System,1
Va White River Junction,1
Valley Children'S Hospital,4
Valley Health System / Mcallen Medical Center,4
Valley Heart And Vascular Institute,1
Vanderbilt University Medical Center,87
Vascular Biology Program,1
Vassar Brothers Medical Center,1
Vcu Medical Center,1
Veterans Affairs Ann Arbor,1
Veterans Affairs New Jersey Health Care System,1
Vilnius University,5
Virginia Commonwealth University,47
Virginia Hospital Center,1
Virginia Tech Carilion School Of Medicine,16
Vu University Medical Center,2
Wakamatsu Hospital Of University Of Occupational And Environmental Health,1
Wake Forest University School Of Medicine,33
Wakemed Health & Hospitals,2
Walter Reed Army Medical Center,1
Walter Reed National Military Medical Center,3
Warren Alpert Medical School Of Brown University,5
Washington Hospital Center,7
Washington University In Saint Louis,1
Washington University In St. Louis,59
Wayne State University,27
Weill Cornell Medical College,48
Wellspan York Hospital,1
Wellstar Atlanta Medical Center,1
West China Hospital Of Sichuan University,1
West Virginia School Of Medicine,1
West Virginia University,16
West Virginia University School Of Medicine,3
West Virginia University/Charleston Division,1
Westchester Medical Center,16
Westchester Medical Center / New York Medical College,1
Western Michigan University,2
Western Michigan University Homer Stryker Md School Of Medicine,8
Western University Of Health Sciences,2
Westmead Hospital,5
William Beaumont Army Medical Center,3
William S. Middleton Va,3
Willis-Knighton Medical Center,1
Wolfson Children'S Hospital,1
Women And Children'S Hospital Of Buffalo,7
Wright State University,46
Xi'An Jiaotong University Second Affiliated Hospital,1
Xijing Hospital,2
Yale University School Of Medicine,182
Yokohama City University,2
York Hospital,5
Zhongshan Hospital Fudan University,4
Zucker School Of Medicine At Hofstra/Northwell,4
Zucker School Of Medicine Hofstra Northwell,1
Zucker Som At Hofstra/Northwell Health,1
