,rank,institution,funding,year
39,0,UNIVERSITY OF NEBRASKA MEDICAL CENTER,3648840,2022
40,0,PENNSYLVANIA STATE UNIV MED CTR HERSHEY,3429434,2022
41,0,UNIVERSITY OF SOUTHERN CALIFORNIA,3405162,2022
42,0,MEDICAL UNIVERSITY OF SOUTH CAROLINA,3167729,2022
43,0,MEDICAL COLLEGE OF WISCONSIN,3082337,2022
44,0,UNIVERSITY OF MISSOURI COLUMBIA,2883577,2022
45,0,UNIVERSITY OF ARIZONA,2863973,2022
46,0,UNIVERSITY OF WASHINGTON SEATTLE,2647732,2022
47,0,UNIVERSITY OF IOWA,2590525,2022
48,0,UNIVERSITY OF SOUTH FLORIDA,2101967,2022
49,0,UNIVERSITY OF CALIFORNIA IRVINE,1875096,2022
50,0,WAKE FOREST UNIVERSITY HLTH SCIS,1825866,2022
51,0,EAST TENNESSEE STATE UNIVERSITY,1609186,2022
52,0,HARVARD MEDICAL SCHOOL,1608166,2022
53,0,UNIVERSITY OF CINCINNATI,1383239,2022
54,0,VIRGINIA COMMONWEALTH UNIVERSITY,1313303,2022
55,0,UNIVERSITY OF VERMONT,1131773,2022
56,0,LOYOLA UNIVERSITY CHICAGO,1080472,2022
57,0,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,1070099,2022
58,0,BOSTON UNIVERSITY MEDICAL CAMPUS,916387,2022
59,0,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,882617,2022
60,0,UNIVERSITY OF NEW MEXICO HLTH SCIS CTR,834757,2022
61,0,GEORGE WASHINGTON UNIVERSITY,752803,2022
62,0,AUGUSTA UNIVERSITY,673667,2022
63,0,STATE UNIVERSITY OF NEW YORK BUFFALO,644828,2022
64,0,UNIVERSITY OF NEVADA RENO,612680,2022
65,0,TULANE UNIVERSITY OF LOUISIANA,595206,2022
66,0,LOUISIANA STATE UNIV HSC NEW ORLEANS,540119,2022
67,0,ALBANY MEDICAL COLLEGE,461586,2022
68,0,OREGON HEALTH & SCIENCE UNIVERSITY,456464,2022
69,0,UNIVERSITY OF ILLINOIS CHICAGO,403577,2022
70,0,UNIVERSITY OF OKLAHOMA HLTH SCIS CTR,362500,2022
71,0,GEORGETOWN UNIVERSITY,353959,2022
72,0,UNIVERSITY OF TENNESSEE HLTH SCI CTR,346500,2022
73,0,UNIVERSITY OF TEXAS MED BR GALVESTON,341416,2022
74,0,UNIVERSITY OF MISSISSIPPI MED CTR,268394,2022
75,0,SUNY UPSTATE MEDICAL CENTER,244500,2022
76,0,UNIVERSITY OF MASSACHUSETTS WORCESTER,164559,2022
77,0,,,2022
78,0,GRAND TOTAL,504525827,2022
79,0,,,2022
80,0,MEAN,6638497.72368421,2022
81,0,Created 6 February 2023.,,2022
82,0,MEDIAN,3804041,2022
1,0,DUKE UNIVERSITY,30913358,2021
2,0,WASHINGTON UNIVERSITY ST LOUIS,25592903,2021
3,0,UNIVERSITY OF MICHIGAN,25578813,2021
4,0,UNIVERSITY OF PENNSYLVANIA,18325921,2021
5,0,UNIVERSITY OF PITTSBURGH,15962564,2021
6,0,OHIO STATE UNIVERSITY,15259477,2021
7,0,COLUMBIA UNIVERSITY HEALTH SCIENCES,14568462,2021
8,0,UNIVERSITY OF WISCONSIN MADISON,14243653,2021
9,0,UNIVERSITY OF MARYLAND BALTIMORE,13629398,2021
10,0,STANFORD UNIVERSITY,12831923,2021
11,0,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,12785866,2021
12,0,EMORY UNIVERSITY,11606366,2021
13,0,NORTHWESTERN UNIVERSITY CHICAGO,11548187,2021
14,0,JOHNS HOPKINS UNIVERSITY,10974171,2021
15,0,UNIVERSITY OF ROCHESTER,10398611,2021
16,0,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,9210119,2021
17,0,UNIVERSITY OF CALIFORNIA LOS ANGELES,8943735,2021
18,0,UNIVERSITY OF ALABAMA BIRMINGHAM,8700403,2021
19,0,UNIVERSITY OF CALIFORNIA SAN DIEGO,8433854,2021
20,0,UNIVERSITY OF UTAH,8214783,2021
21,0,UNIVERSITY OF CALIFORNIA DAVIS,8188140,2021
22,0,UNIVERSITY OF FLORIDA,8083308,2021
23,0,VANDERBILT UNIVERSITY,7963712,2021
24,0,UNIVERSITY OF CHICAGO,7835013,2021
25,0,UNIVERSITY OF COLORADO DENVER,7708735,2021
26,0,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,7535477,2021
27,0,INDIANA UNIV-PURDUE UNIV INDIANAPOLIS,7521310,2021
28,0,UNIVERSITY OF MINNESOTA,6471354,2021
29,0,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",6000203,2021
30,0,UNIVERSITY OF TEXAS SOUTHWESTERN DALLAS,5481477,2021
31,0,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,5287766,2021
32,0,UNIVERSITY OF KENTUCKY,5133229,2021
33,0,BAYLOR COLLEGE OF MEDICINE,4818376,2021
34,0,UNIVERSITY OF VIRGINIA,4567964,2021
35,0,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,4369978,2021
36,0,CASE WESTERN RESERVE UNIV/CLEVELAND CLINIC LERNER,4313281,2021
37,0,MEDICAL UNIVERSITY OF SOUTH CAROLINA,3883331,2021
38,0,YALE UNIVERSITY,3661242,2021
39,0,UNIVERSITY OF SOUTHERN CALIFORNIA,3410384,2021
40,0,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,3194155,2021
41,0,VIRGINIA COMMONWEALTH UNIVERSITY,3084129,2021
42,0,WAKE FOREST UNIVERSITY HEALTH SCIENCES,3068283,2021
43,0,UNIVERSITY OF NEBRASKA MEDICAL CENTER,3062576,2021
44,0,UNIVERSITY OF MISSOURI COLUMBIA,3010510,2021
45,0,MEDICAL COLLEGE OF WISCONSIN,2721933,2021
46,0,UNIVERSITY OF ARIZONA,2549118,2021
47,0,UNIVERSITY OF IOWA,2532836,2021
48,0,EAST TENNESSEE STATE UNIVERSITY,2255929,2021
49,0,ALBERT EINSTEIN COLLEGE OF MEDICINE,2242775,2021
50,0,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,2137795,2021
51,0,HARVARD MEDICAL SCHOOL,2058926,2021
52,0,UNIVERSITY OF ILLINOIS CHICAGO,2055951,2021
53,0,LOYOLA UNIVERSITY CHICAGO,1867083,2021
54,0,UNIVERSITY OF VERMONT,1609364,2021
55,0,UNIVERSITY OF CINCINNATI,1565076,2021
56,0,UNIVERSITY OF SOUTH FLORIDA,1544940,2021
57,0,UNIVERSITY OF WASHINGTON,1526224,2021
58,0,UNIVERSITY OF NEW MEXICO HEALTH SCIENCES CTR,1511405,2021
59,0,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,1070532,2021
60,0,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,910146,2021
61,0,UNIVERSITY OF CALIFORNIA IRVINE,907901,2021
62,0,BOSTON UNIVERSITY MEDICAL CAMPUS,807796,2021
63,0,GEORGE WASHINGTON UNIVERSITY,801834,2021
64,0,UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANTONIO,750022,2021
65,0,AUGUSTA UNIVERSITY,673667,2021
66,0,STATE UNIVERSITY OF NEW YORK BUFFALO,645880,2021
67,0,OREGON HEALTH & SCIENCE UNIVERSITY,601332,2021
68,0,UNIVERSITY OF TEXAS MED BR GALVESTON,540543,2021
69,0,UNIVERSITY OF NEVADA RENO,506528,2021
70,0,GEORGETOWN UNIVERSITY,479946,2021
71,0,ALBANY MEDICAL COLLEGE,452260,2021
72,0,UNIVERSITY OF TENNESSEE HEALTH SCI CTR,346500,2021
73,0,LOUISIANA STATE UNIV HSC NEW ORLEANS,326607,2021
74,0,UNIVERSITY OF LOUISVILLE,234125,2021
75,0,UNIVERSITY OF MASSACHUSETTS MED SCH WORCESTER,209375,2021
76,0,UNIVERSITY OF MISSISSIPPI MED CTR,162000,2021
77,0,,,2021
78,0,GRAND TOTAL,453982849,2021
79,0,,,2021
80,0,MEAN,5973458.5394736845,2021
81,0,Created 8 February 2022.,,2021
82,0,MEDIAN,3535813,2021
1,0,UNIVERSITY OF MICHIGAN ANN ARBOR,25604626,2020
2,0,WASHINGTON UNIVERSITY ST LOUIS,24824383,2020
3,0,DUKE UNIVERSITY,23284818,2020
4,0,OHIO STATE UNIVERSITY,20979772,2020
5,0,UNIVERSITY OF PITTSBURGH,19988802,2020
6,0,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,15019508,2020
7,0,UNIVERSITY OF PENNSYLVANIA,14557518,2020
8,0,STANFORD UNIVERSITY,14392052,2020
9,0,UNIVERSITY OF COLORADO DENVER,14063870,2020
10,0,EMORY UNIVERSITY,13833562,2020
11,0,UNIVERSITY OF WISCONSIN MADISON,12542330,2020
12,0,UNIVERSITY OF MARYLAND BALTIMORE,12328770,2020
13,0,COLUMBIA UNIVERSITY HEALTH SCIENCES,12293441,2020
14,0,UNIVERSITY OF CALIFORNIA DAVIS,12197032,2020
15,0,JOHNS HOPKINS UNIVERSITY,11466497,2020
16,0,UNIVERSITY OF ROCHESTER,11310825,2020
17,0,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,11114745,2020
18,0,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,9580888,2020
19,0,NORTHWESTERN UNIVERSITY CHICAGO,9387682,2020
20,0,UNIVERSITY OF CALIFORNIA LOS ANGELES,9172848,2020
21,0,UNIVERSITY OF ALABAMA BIRMINGHAM,6959061,2020
22,0,UNIVERSITY OF UTAH,6941202,2020
23,0,VANDERBILT UNIVERSITY,6659818,2020
24,0,UNIVERSITY OF CHICAGO,6632148,2020
25,0,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,6523472,2020
26,0,CASE WESTERN RESERVE UNIV/CLEVELAND CLINIC LERNER,6344047,2020
27,0,UNIVERSITY OF KENTUCKY,6083617,2020
28,0,UNIVERSITY OF CALIFORNIA SAN DIEGO,5993277,2020
29,0,UNIVERSITY OF FLORIDA,5991842,2020
30,0,INDIANA UNIV-PURDUE UNIV INDIANAPOLIS,5554839,2020
31,0,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,5293730,2020
32,0,UNIVERSITY OF MINNESOTA,5105893,2020
33,0,MEDICAL UNIVERSITY OF SOUTH CAROLINA,4168533,2020
34,0,UNIVERSITY OF VIRGINIA,3821710,2020
35,0,YALE UNIVERSITY,3687578,2020
36,0,BAYLOR COLLEGE OF MEDICINE,3673146,2020
37,0,UNIVERSITY OF NEBRASKA MEDICAL CENTER,3595392,2020
38,0,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,3417562,2020
39,0,UNIVERSITY OF SOUTHERN CALIFORNIA,3097680,2020
40,0,UNIVERSITY OF IOWA,2946558,2020
41,0,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,2842797,2020
42,0,LOYOLA UNIVERSITY CHICAGO,2565242,2020
43,0,UNIVERSITY OF ILLINOIS CHICAGO,2354653,2020
44,0,HARVARD MEDICAL SCHOOL,2325284,2020
45,0,UNIVERSITY OF MISSOURI COLUMBIA,2169074,2020
46,0,UNIVERSITY OF WASHINGTON,1894136,2020
47,0,UNIVERSITY OF VERMONT,1882966,2020
48,0,EAST TENNESSEE STATE UNIVERSITY,1762285,2020
49,0,UNIVERSITY OF TEXAS SOUTHWESTERN DALLAS,1708682,2020
50,0,WAKE FOREST UNIVERSITY HEALTH SCIENCES,1671109,2020
51,0,UNIVERSITY OF NEW MEXICO HEALTH SCIENCES CTR,1629373,2020
52,0,UNIVERSITY OF CINCINNATI,1554996,2020
53,0,GEORGE WASHINGTON UNIVERSITY,1537124,2020
54,0,UNIVERSITY OF ARIZONA,1505045,2020
55,0,ALBERT EINSTEIN COLLEGE OF MEDICINE,1412789,2020
56,0,UNIVERSITY OF SOUTH FLORIDA,1390398,2020
57,0,UNIVERSITY OF CALIFORNIA IRVINE,1324188,2020
58,0,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,1104195,2020
59,0,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",1037213,2020
60,0,ALBANY MEDICAL COLLEGE,941602,2020
61,0,UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANTONIO,754897,2020
62,0,UNIVERSITY OF TEXAS MED BR GALVESTON,733101,2020
63,0,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,716026,2020
64,0,AUGUSTA UNIVERSITY,649402,2020
65,0,MEDICAL COLLEGE OF WISCONSIN,620708,2020
66,0,BOSTON UNIVERSITY MEDICAL CAMPUS,550317,2020
67,0,GEORGETOWN UNIVERSITY,479946,2020
68,0,THOMAS JEFFERSON UNIVERSITY,426326,2020
69,0,UPSTATE MEDICAL UNIVERSITY,399204,2020
70,0,UNIVERSITY OF NEVADA RENO,366000,2020
71,0,UNIVERSITY OF TENNESSEE HEALTH SCI CTR,346500,2020
72,0,LOUISIANA STATE UNIV HSC NEW ORLEANS,336848,2020
73,0,STATE UNIVERSITY OF NEW YORK STONY BROOK,304547,2020
74,0,UNIV OF MASSACHUSETTS MED SCH WORCESTER,251250,2020
75,0,UNIVERSITY OF KANSAS MEDICAL CENTER,249000,2020
76,0,UNIVERSITY OF MISSISSIPPI MED CTR,162000,2020
77,0,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,127878,2020
78,0,,,2020
79,0,GRAND TOTAL,442522175,2020
80,0,,,2020
81,0,MEAN,5747041.233766234,2020
82,0,Created 7 February 2021.,,2020
83,0,MEDIAN,3097680,2020
1,0,UNIVERSITY OF PENNSYLVANIA,19621244,2016
2,0,WASHINGTON UNIVERSITY,19280840,2016
3,0,DUKE UNIVERSITY,16546762,2016
4,0,UNIVERSITY OF MICHIGAN,16531254,2016
5,0,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,15586617,2016
6,0,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",14299884,2016
7,0,UNIVERSITY OF WISCONSIN-MADISON,11436767,2016
8,0,VANDERBILT UNIVERSITY,10697022,2016
9,0,EMORY UNIVERSITY,10481924,2016
10,0,NORTHWESTERN UNIVERSITY AT CHICAGO,7401582,2016
11,0,UNIVERSITY OF CALIFORNIA LOS ANGELES,7018709,2016
12,0,JOHNS HOPKINS UNIVERSITY,6737979,2016
13,0,STANFORD UNIVERSITY,6523729,2016
14,0,UNIVERSITY OF CALIFORNIA AT DAVIS,6432568,2016
15,0,OHIO STATE UNIVERSITY,6279394,2016
16,0,UNIVERSITY OF CALIFORNIA SAN DIEGO,6137920,2016
17,0,UNIVERSITY OF ROCHESTER,5166771,2016
18,0,UNIVERSITY OF MINNESOTA,4672949,2016
19,0,UNIVERSITY OF FLORIDA,4497991,2016
20,0,UNIVERSITY OF MARYLAND BALTIMORE,4405093,2016
21,0,UNIVERSITY OF CHICAGO,4382627,2016
22,0,UNIVERSITY OF VIRGINIA,4300970,2016
23,0,UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,4163616,2016
24,0,UNIVERSITY OF KENTUCKY,4140021,2016
25,0,COLUMBIA UNIVERSITY HEALTH SCIENCES,3548664,2016
26,0,WEILL MEDICAL COLL OF CORNELL UNIV,3495958,2016
27,0,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,3492929,2016
28,0,CLEVELAND CLINIC LERNER COM-CWRU,3470292,2016
29,0,LOYOLA UNIVERSITY CHICAGO,3258208,2016
30,0,UNIVERSITY OF COLORADO DENVER,3239043,2016
31,0,MEDICAL COLLEGE OF WISCONSIN,3078096,2016
32,0,UNIVERSITY OF UTAH,2962262,2016
33,0,UNIVERSITY OF NEBRASKA MEDICAL CENTER,2916921,2016
34,0,BAYLOR COLLEGE OF MEDICINE,2886398,2016
35,0,RBHS-NEW JERSEY MEDICAL SCHOOL,2689666,2016
36,0,UNIVERSITY OF CALIFORNIA-IRVINE,2393777,2016
37,0,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2252237,2016
38,0,UNIV OF NORTH CAROLINA CHAPEL HILL,2010603,2016
39,0,UNIVERSITY OF SOUTHERN CALIFORNIA,1988935,2016
40,0,RUSH UNIVERSITY MEDICAL CENTER,1818283,2016
41,0,UNIVERSITY OF ARIZONA,1671241,2016
42,0,MEDICAL UNIVERSITY OF SOUTH CAROLINA,1567710,2016
43,0,UNIVERSITY OF KANSAS MEDICAL CENTER,1553415,2016
44,0,WAKE FOREST UNIVERSITY HEALTH SCIENCES,1532674,2016
45,0,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,1491961,2016
46,0,UNIVERSITY OF MISSOURI-COLUMBIA,1380166,2016
47,0,EAST TENNESSEE STATE UNIVERSITY,1366620,2016
48,0,UNIVERSITY OF IOWA,1277631,2016
49,0,UNIVERSITY OF WASHINGTON,1262094,2016
50,0,RBHS-ROBERT WOOD JOHNSON MEDICAL SCHOOL,1255053,2016
51,0,UNIVERSITY OF CINCINNATI,1233499,2016
52,0,ALBERT EINSTEIN COLLEGE OF MEDICINE,1136691,2016
53,0,YALE UNIVERSITY,1098169,2016
54,0,TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,1026143,2016
55,0,UNIVERSITY OF ALABAMA AT BIRMINGHAM,996895,2016
56,0,UT SOUTHWESTERN MEDICAL CENTER,980036,2016
57,0,CASE WESTERN RESERVE UNIVERSITY,936644,2016
58,0,SOUTHERN ILLINOIS UNIVERSITY SCH OF MED,884420,2016
59,0,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,797367,2016
60,0,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,741251,2016
61,0,UNIVERSITY OF ILLINOIS AT CHICAGO,652003,2016
62,0,VIRGINIA COMMONWEALTH UNIVERSITY,646645,2016
63,0,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,616137,2016
64,0,HARVARD MEDICAL SCHOOL,584858,2016
65,0,DARTMOUTH COLLEGE,496287,2016
66,0,UNIV OF MASSACHUSETTS MED SCH WORCESTER,418750,2016
67,0,UPSTATE MEDICAL UNIVERSITY,384750,2016
68,0,UNIVERSITY OF TENNESSEE HEALTH SCI CTR,380528,2016
69,0,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,378438,2016
70,0,UNIVERSITY OF SOUTH FLORIDA,373750,2016
71,0,BOSTON UNIVERSITY MEDICAL CAMPUS,353922,2016
72,0,GEORGE WASHINGTON UNIVERSITY,285300,2016
73,0,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,246691,2016
74,0,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,192500,2016
75,0,UNIVERSITY OF SOUTH ALABAMA,189000,2016
76,0,THOMAS JEFFERSON UNIVERSITY,169650,2016
77,0,,,2016
78,0,GRAND TOTAL,292805394,2016
79,0,,,2016
80,0,MEAN,3852702.552631579,2016
81,0,"Created 14 January 2017, updated 3 April 2017",,2016
82,0,MEDIAN,1999769,2016
